expend,unit,geo\time	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 
INV,MIO_EUR,AT	109 	106 	86 	155 	124 	130 	140 	214 	394 
INV,MIO_EUR,BE	722 	664 	925 	522 	590 	476 	1018 	636 	1048 
INV,MIO_EUR,BG	16 	1 	2 	65 	11 	5 	6 	15 	39 
INV,MIO_EUR,CH	640 	1237 	609 	662 	640 	1555 	718 	1084 	970 
INV,MIO_EUR,CZ	13 	14 	24 	17 	193 	37 	61 	40 	70 
INV,MIO_EUR,DE	5996 	5922 	6146 	5315 	4439 	4826 	2619 	7115 	8083 
INV,MIO_EUR,DK	1162 	663 	1484 	694 	421 	439 	452 	512 	1334 
INV,MIO_EUR,EL	0 	0 	1 	0 	9 	15 	39 	234 	90 
INV,MIO_EUR,ES	1051 	958 	754 	1475 	1974 	2480 	959 	1681 	2923 
INV,MIO_EUR,EU15	44497 	38745 	36116 	35275 	44570 	40019 	22816 	51636 	70276 
INV,MIO_EUR,FI	512 	566 	556 	483 	437 	442 	370 	487 	381 
INV,MIO_EUR,FR	9451 	8998 	5925 	5247 	9264 	5959 	3457 	8551 	12725 
INV,MIO_EUR,HU	118 	101 	22 	104 	78 	45 	191 	34 	48 
INV,MIO_EUR,IE	161 	138 	91 	93 	65 	48 	59 	75 	321 
INV,MIO_EUR,IT	1160 	735 	1159 	1192 	1211 	905 	1385 	3400 	2839 
INV,MIO_EUR,LU	74 	67 	71 	250 	240 	101 	82 	425 	68 
INV,MIO_EUR,NL	1708 	1904 	1002 	1362 	2101 	1326 	805 	1763 	2843 
INV,MIO_EUR,NO	1165 	1287 	883 	880 	706 	936 	642 	770 	698 
INV,MIO_EUR,PL	802 	337 	352 	541 	692 	504 	482 	727 	435 
INV,MIO_EUR,PT	150 	237 	273 	229 	442 	203 	299 	399 	206 
INV,MIO_EUR,RO	50 	41 	49 	24 	48 	80 	83 	123 	156 
INV,MIO_EUR,SE	1722 	1616 	1557 	2022 	2166 	3135 	1337 	3330 	3010 
INV,MIO_EUR,UK	20521 	16170 	16086 	16236 	21085 	19534 	9793 	22813 	34012 
INV,NR_COMP,AT	129 	121 	122 	130 	103 	87 	91 	94 	78 
INV,NR_COMP,BE	100 	242 	199 	211 	156 	145 	233 	189 	194 
